,Fvar,frequency,frequency_strength,slope,R,std,mean,median,name
338,,,,,,,,,661425549368-light-curves
339,,,,,,,,,661426321486-light-curves
340,,,,,,,,,171799094675-light-curves
341,,,,,,,,,154619698933-light-curves
342,,,,,,,,,661434926377-light-curves
343,,,,,,,,,661430340748-light-curves
344,,,,,,,,,661430467949-light-curves
345,,,,,,,,,223339071824-light-curves
346,,,,,,,,,403728102471-light-curves
347,,,,,,,,,661425804332-light-curves
348,,,,,,,,,661425670341-light-curves
349,,,,,,,,,661425680860-light-curves
350,,,,,,,,,661431598247-light-curves
351,,,,,,,,,661426420321-light-curves
352,,,,,,,,,661431317272-light-curves
353,,,,,,,,,661432078326-light-curves
354,,,,,,,,,283468439158-light-curves
355,,,,,,,,,1081363-light-curves
356,,,,,,,,,146029892160-light-curves
357,,,,,,,,,257698174631-light-curves
358,,,,,,,,,188979185775-light-curves
359,,,,,,,,,661430607882-light-curves
360,,,,,,,,,489626945673-light-curves
361,,,,,,,,,661427341865-light-curves
362,,,,,,,,,515396495431-light-curves
363,,,,,,,,,661427131768-light-curves
364,,,,,,,,,661432315406-light-curves
365,,,,,,,,,60130033637-light-curves
366,,,,,,,,,661431512800-light-curves
367,,,,,,,,,188979403764-light-curves
368,,,,,,,,,661434925596-light-curves
369,,,,,,,,,661427139791-light-curves
370,,,,,,,,,42950022109-light-curves
371,,,,,,,,,661426557980-light-curves
372,,,,,,,,,266288620696-light-curves
373,,,,,,,,,661434926415-light-curves
374,,,,,,,,,197568807032-light-curves
375,,,,,,,,,506806753750-light-curves
376,,,,,,,,,661434926444-light-curves
377,,,,,,,,,266289016559-light-curves
378,,,,,,,,,661434975086-light-curves
379,,,,,,,,,661425590892-light-curves
380,,,,,,,,,661427212762-light-curves
381,,,,,,,,,661434644218-light-curves
382,,,,,,,,,377958399530-light-curves
383,,,,,,,,,240519351410-light-curves(1)
384,,,,,,,,,309238840845-light-curves
385,,,,,,,,,180389589033-light-curves
386,,,,,,,,,120260531130-light-curves
387,,,,,,,,,661431096373-light-curves
388,,,,,,,,,429497801328-light-curves
389,,,,,,,,,661432477847-light-curves
390,,,,,,,,,188979407653-light-curves
391,,,,,,,,,309237738223-light-curves
392,,,,,,,,,146029238738-light-curves
393,,,,,,,,,635655773241-light-curves
394,,,,,,,,,326418275513-light-curves
395,,,,,,,,,352188124881-light-curves
396,,,,,,,,,472446736083-light-curves
397,,,,,,,,,661431042887-light-curves
398,,,,,,,,,661427160112-light-curves
399,,,,,,,,,661430497556-light-curves
400,,,,,,,,,609886056552-light-curves
401,,,,,,,,,111670247276-light-curves
402,,,,,,,,,85899394886-light-curves
403,,,,,,,,,661427177930-light-curves
404,,,,,,,,,575525929116-light-curves
405,,,,,,,,,661431873877-light-curves
406,,,,,,,,,661432297128-light-curves
407,,,,,,,,,661427101574-light-curves
408,,,,,,,,,661430330290-light-curves
409,,,,,,,,,661431623486-light-curves
410,,,,,,,,,85899954588-light-curves
411,,,,,,,,,8590775966-light-curves
412,,,,,,,,,128849661808-light-curves
413,,,,,,,,,661431031915-light-curves
414,,,,,,,,,532577083358-light-curves
415,,,,,,,,,661425605689-light-curves
416,,,,,,,,,661432030252-light-curves
417,,,,,,,,,274879181162-light-curves
418,,,,,,,,,455267255265-light-curves
419,,,,,,,,,644245485768-light-curves
420,,,,,,,,,661427279480-light-curves
421,,,,,,,,,661430414026-light-curves
422,,,,,,,,,661427185612-light-curves
423,,,,,,,,,661427098265-light-curves
424,,,,,,,,,661431197130-light-curves
425,,,,,,,,,68720408608-light-curves
426,,,,,,,,,661425829079-light-curves
427,,,,,,,,,77310897143-light-curves
428,,,,,,,,,558346527525-light-curves
429,,,,,,,,,42949887029-light-curves
430,,,,,,,,,661427311590-light-curves
431,,,,,,,,,257698895216-light-curves
432,,,,,,,,,661431323081-light-curves
433,,,,,,,,,34360491334-light-curves
434,,,,,,,,,652835789694-light-curves
435,,,,,,,,,506807068278-light-curves
436,,,,,,,,,661431974092-light-curves
437,,,,,,,,,661427486433-light-curves(1)
438,,,,,,,,,661427348464-light-curves
439,,,,,,,,,223338606826-light-curves
440,,,,,,,,,661432029284-light-curves
441,,,,,,,,,661427167704-light-curves
442,,,,,,,,,206159474665-light-curves
443,,,,,,,,,489626398021-light-curves
444,,,,,,,,,661430467889-light-curves
445,,,,,,,,,661434926450-light-curves
446,,,,,,,,,214749734121-light-curves
447,,,,,,,,,661431492332-light-curves
448,,,,,,,,,661425792986-light-curves
449,,,,,,,,,661430451311-light-curves
