,name,ID,ra,dec
199,NGC 3065,120259275229,10 01 55.8,+72 10 12
200,NGC 3081,352187331787,09 59 29.6,-22 49 34
201,MARK   52,335008263820,12 25 42.8,+00 34 21
202,NGC 4261,661430507865,12 19 23.2,+05 49 29
203,NGC 5631,146029983588,14 26 33.2,+56 34 58
204,NGC 6890,352187551413,20 18 18.1,-44 48 24
205,NGC 6434,17180246567,17 36 48.6,+72 05 20
206,NGC 5353,661427131768,13 53 26.7,+40 16 59
207,NGC 2782,661430603624,09 14 05.3,+40 06 47
208,NGC 4388,661426443378,12 25 46.7,+12 39 41
209,MCG -06.30.015,-1,13 35 53.4,-34 17 48
210,NGC 5985,661432315406,15 39 36.8,+59 19 51
211,NGC 2992,326417559743,09 45 42.0,-14 19 35
212,NGC 3573,661431106270,11 11 18.6,-36 52 32
213,NGC 4897,326417921985,13 00 52.9,-13 26 58
214,NGC 5244,661431245465,13 38 42.0,-45 51 20
215,NGC 5347,51540107272,13 53 17.8,+33 29 27
216,SDSS J09176+5259,60130576030,09 17 39.9,+52 59 34
217,NGC 5899,661427167704,15 15 03.3,+42 02 59
218,NGC 5929,661427160112,15 26 06.1,+41 40 15
219,F  348,-1,20 37 00.2,-50 05 22
220,NGC 4168,661430467889,12 12 17.3,+13 12 18
221,NGC 7172,661425704484,22 02 01.9,-31 52 08
222,NGC 5597,489626728396,14 24 27.5,-16 45 45
223,NGC 6764,77310868438,19 08 16.4,+50 55 59
224,SDSS J12122+0004,395137848897,12 12 14.8,+00 04 20
225,MCG -05.23.004,-1,09 31 06.9,-30 21 29
226,MCG -05.23.008,-1,09 44 13.1,-28 50 56
227,NGC 4412,343597591711,12 26 35.9,+03 57 54
228,Q 1411+4753,661432308847,14 13 44.7,+47 39 51
229,Abell 1736#14,-1,13 23 45.4,-27 39 36
230,NGC 5077,661432314758,13 19 31.6,-12 39 24
231,NGC 5757,661431307609,14 47 46.0,-19 04 36
232,NGC 3976,214749641841,11 55 57.4,+06 44 56
233,ESO 434-G40,661431031915,09 47 40.2,-30 56 54
234,NGC 2824,120260531130,09 19 02.3,+26 16 11
235,MARK  201,661430467352,12 14 09.7,+54 31 35
236,NGC 5728,661431888743,14 42 23.9,-17 15 11
237,NGC 4593,661431908458,12 39 39.4,-05 20 39
238,MARK  607,292058203714,03 24 48.7,-03 02 32
239,NGC 3735,661427500457,11 35 57.5,+70 32 07
240,NGC 5427,420907943438,14 03 25.9,-06 01 50
241,ESO 234-G50,429497519462,20 35 50.1,-50 11 50
242,IC 2560,661425695773,10 16 19.3,-33 33 59
243,ESO 509-IG64,661431878775,13 34 36.5,-23 40 46
244,ESO 138-G01,661425593007,16 51 20.5,-59 14 11
245,ESO 373-G13,661431024196,09 38 20.5,-33 51 45
246,PKS 0958-314,661431043742,10 00 40.9,-31 39 51
247,MCG -06.28.025,-1,12 56 28.2,-36 22 14
248,ESO 373-G29,661432313370,09 47 43.4,-32 50 11
249,PADOVA 1,661426422771,18 51 59.5,+11 52 33
250,NGC 4968,403727615911,13 07 05.4,-23 40 37
251,NGC 4378,661426233479,12 25 17.9,+04 55 30
252,ESO 137-G34,644245397485,16 35 14.2,-58 04 41
253,NGC 3783,661431844884,11 39 01.8,-37 44 19
254,NGC 3516,34360402246,11 06 47.4,+72 34 07
255,NGC 7378,326417795140,22 47 47.7,-11 49 00
256,NGC 6949,68720276790,20 35 07.1,+64 48 09
257,NGC 7714,661431623486,23 36 14.1,+02 09 18
258,MARK  270,34360708791,13 41 05.8,+67 40 20
259,MCG -02.25.025,-1,10 36 58.1,-28 10 34
260,SDSS J13453+4142,661431251526,13 45 19.2,+41 42 45
261,KUG 0239+013,661434667829,02 42 14.3,+01 34 37
262,MARK  171,661430458403,11 28 31.6,+58 33 44
263,ESO 443-G17,661431206259,12 57 44.9,-29 45 59
264,MARK 1126,309238172165,23 00 47.8,-12 55 08
265,MARK  745,377957721176,11 39 56.3,+16 57 17
266,WEE  64,206158710877,12 36 45.3,+26 18 06
267,NGC 4628,661425901781,12 42 25.3,-06 58 16
268,NGC 3390,274879181162,10 48 04.4,-31 32 00
269,MARK 1092,661430847787,05 04 19.6,-10 04 35
270,NGC 4990,395137954643,13 09 17.3,-05 16 22
271,NGC 3147,661427507123,10 16 53.2,+73 24 02
272,NGC 6500,661431446057,17 55 59.8,+18 20 19
273,SDSS J13321+6242,137439994606,13 32 06.9,+62 42 02
274,NGC 3367,661430623666,10 46 34.9,+13 45 02
275,ESO 508-G05,661425755662,13 06 56.7,-23 55 00
276,NGC 4939,661430482948,13 04 14.3,-10 20 23
277,IC 4197,506807066017,13 08 04.3,-23 47 48
278,F  280,-1,09 13 30.5,-60 47 21
279,NGC 4696,661430481377,12 48 49.3,-41 18 40
280,H 1934-063,-1,19 37 33.1,-06 13 05
281,ESO 108-G10,592706382034,22 04 29.8,-66 06 51
282,MARK   25,51539983161,10 03 51.9,+59 26 11
283,NGC 3994,661432314076,11 57 36.7,+32 16 41
284,ESO 377-G24,609886275236,11 12 32.4,-36 25 35
285,NGC 2911,661431021044,09 33 46.1,+10 09 09
286,IC 3370,661431176356,12 27 37.3,-39 20 16
287,MARK  744,661432313951,11 39 42.6,+31 54 34
288,IC 5169,661425683522,22 10 10.0,-36 05 19
289,NGC 5905,137438969888,15 15 23.2,+55 31 05
290,IC 3639,592706544225,12 40 52.9,-36 45 21
291,IGR J16024-6107,661431364341,16 01 48.2,-61 08 55
292,F  182,-1,18 43 26.4,-64 06 14
293,SDSS J15359+5641,661434950158,15 35 58.9,+56 41 08
294,NGC  424,506806472738,01 11 27.7,-38 05 01
295,LEDA  86269,661426856184,04 44 09.0,+28 13 00
296,NGC 3281,661425689540,10 31 52.1,-34 51 13
297,NGC 3894,661430461327,11 48 50.4,+59 24 57
298,PKS 2048-57,661425599222,20 52 02.2,-57 04 07
299,MCG -04.30.029,-1,12 51 31.8,-26 27 07
300,NGC 3660,309238631972,11 23 32.2,-08 39 30
301,Q 1441+4635,661432307576,14 43 26.7,+46 22 55
302,NGC 1125,661425804332,02 51 40.3,-16 39 04
303,NGC 4936,661430485701,13 04 16.9,-30 31 34
304,NGC 5793,661425804020,14 59 27.5,-16 41 51
305,NGC 2639,661430596312,08 43 38.0,+50 12 21
306,NGC 7377,661431588469,22 47 47.5,-22 18 43
307,SDSS J10510+6546,8591365959,10 51 03.0,+65 46 53
308,Q 0258+0222,661434912683,03 00 59.3,+02 33 57
309,ESO 512-G20,506807068278,14 44 57.0,-23 47 40
310,NGC 7678,171798728402,23 28 27.8,+22 25 17
311,NGC 5395,8590775966,13 58 38.0,+37 25 28
312,MCG -04.24.017,-1,10 05 55.4,-23 03 24
313,MARK 1066,661432032267,02 59 58.6,+36 49 14
314,ESO 568-G21,481037251234,10 41 14.9,-21 01 25
315,CTS J13.12,592705709989,13 51 29.4,-18 13 47
316,IC 1657,661425700045,01 14 07.0,-32 39 02
317,Q 0130+0215,661432305326,01 32 51.5,+02 30 38
